site_domain,imps,clicks,click_thru_pct,convs_rate,booked_revenue,post_view_convs,post_click_convs,media_cost,profit_ecpm
2chblog.jp,8,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.004230,-0.528750000000000000000000
2dehands.be,9,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.011214,-1.246000000000000000000000
2dopeboyz.com,27,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.012810,-0.474444444444444444444000
2knowmyself.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.006330,-3.165000000000000000000000
2leep.com,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.006238,-1.559500000000000000000000
2littlesuperheroes.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000890,-0.890000000000000000000000
2paragraphs.com,9,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.018807,-2.089666666666666666667000
2pass.co.uk,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.005497,-1.832333333333333333333000
2sao.vn,13,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.011442,-0.880153846153846153846000
2studentbodies.com,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002364,-0.591000000000000000000000
2sw.me,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000567,-0.567000000000000000000000
2womenshealth.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002880,-1.440000000000000000000000
320sycamoreblog.com,19,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.033530,-1.764736842105263157895000
33rdsquare.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001750,-1.750000000000000000000000
350z-tech.com,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002552,-2.552000000000000000000000
360kpop.com,11,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.009458,-0.859818181818181818182000
360sportsleague.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001930,-0.965000000000000000000000
365daysofbakingandmore.com,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.005606,-2.803000000000000000000000
365thingsaustin.com,6,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.010727,-1.787833333333333333333000
